Review,Rating,Location,Date of Experience,Sentiment,cleaned_review,Day,Month,Year
There were minor dents and scratches on our rental. A tear across the back seat approx 10 inches long. When paying the going rate for a rental you expect a quality vehicle cosmetically as well.,4,US,2022-10-10,Positive,minor dent scratch rental tear across back seat approx inch long pay go rate rental expect quality vehicle cosmetically well,10,October,2022
They are the best out there. even thought the drive from the airport is a bit far to their office. Their customer service is outstanding. Try them and you would regret it. Keep up the great work.,5,US,2022-10-26,Positive,well even think drive airport bit far office customer service outstanding try would regret keep great work,26,October,2022
Great customer service. I wished it was 24 hours or they had a key drop box option.,5,US,2022-10-24,Positive,great customer service wish hour key drop box option,24,October,2022
It was so easy to pick up the car and return it.  The staff was on it.  Great service!,5,CA,2022-10-22,Positive,easy pick car return staff great service,22,October,2022
"No waiting time at pick up and at return. All employees were professionnal. Otherwise, due to traffic between the location center (for all banners) in Phoenix and the airport (terminal 3 or 4), the transfer by bus can take up to 30-45 minutes; but it is not related to the rental car provider.",5,Other,2022-10-22,Positive,wait time pick return employee professionnal otherwise due traffic location center banner phoenix airport terminal transfer bus take minute relate rental car provider,22,October,2022
Very pleasant and efficient employees. Car ran flawlessly. Inside  not the cleanest but useable. I'm a bit confused with billing with the email showing a much higher charge for gas than what we signed for.  Fox Rent a Car has not had time to return my message about this.  Probably would use them again,4,US,2022-10-24,Positive,pleasant efficient employee car run flawlessly inside cleanest useable I m bit confused billing email show much high charge gas sign fox rent car time return message probably would use,24,October,2022
Smooth experience. No extra waiting either picking up or dropping off.,5,US,2022-10-21,Positive,smooth experience extra waiting either pick dropping,21,October,2022
Easy to pick up and drop off. Very clean and comfortable vehicle. Extremely friendly staff.,5,US,2022-10-18,Positive,easy pick drop clean comfortable vehicle extremely friendly staff,18,October,2022
"Loved this rental company - Great staff, late hours at LAX",5,US,2022-10-19,Positive,love rental company great staff late hour lax,19,October,2022
"After driving 3 hours away from rental facility, realized the car had a bad battery. Took nearly 2 hours to get thru to customer service only to find there were no close locations for service than the base in Jacksonville,FL. Even though Georgia and Alabama are within the ""driving range"" provided at time of check out.After discussing options (or lack of them) with customer service, I was told that I could have the battery issue resolved at Autozone and simply bring my receipts at time of check in, and not further disturb my vacation. Local manager refuses to return my calls or emails and told his clerk to tell me it wasn't his problem, that I should take up with customer service.",1,CA,2022-10-15,Negative,drive hour away rental facility realize car bad battery take nearly hour get thru customer service find close location service base jacksonvillefl even though georgia alabama within drive range provide time check outafter discuss option lack customer service tell could battery issue resolve autozone simply bring receipt time check disturb vacation local manager refuse return call email tell clerk tell be not problem take customer service,15,October,2022
"Car was reasonable. It was comfortable and seemed okay; we had issues with the tyre pressure dropping below an acceptable level while we were driving and had to top them up ourselves. Also, as many other people have stated, the volume of hidden charges is gastronomical. Our rental more than doubled in cost as we were required to sign for insurances and extra drivers on arrival. None of this was declared on booking and had it been, we would have gone elsewhere. The staff at the Denver airport depot are rude too. They look at you like dirt when you ask them to explain what insurances you are signing for and why they’re so expensive. They also try and sell you products you don’t need (like an £11/day pass for the express lane on interstates) and don’t listen when you say no thank you. I’ve had nothing but problems with the customer service since we left and money is simply removed from your credit card with no notice. The car was fine, avoid the company like the plague.",2,US,2022-09-07,Negative,car reasonable comfortable seem okay issue tyre pressure drop acceptable level drive top also many people state volume hide charge gastronomical rental double cost require sign insurance extra driver arrival none declare booking would go elsewhere staff denver airport depot rude look like dirt ask explain insurance sign they re expensive also try sell product do not need like day pass express lane interstate do not listen say thank I ve nothing problem customer service since leave money simply remove credit card notice car fine avoid company like plague,7,September,2022
Thomas and Boehen were great! They really helped me out when I chose the wrong airport to return my vehicle.   All of the staff was very courteous. I will be renting with Fox again.,5,US,2022-10-18,Positive,thomas boehen great really help choose wrong airport return vehicle staff courteous renting fox,18,October,2022
"The car was fine.  However, BEWARE of fees!  Each extra driver cost money but they probably won't tell you that.  A booster seat costs money but they probably won't tell you that either.  Our rental almost doubled because of adding two additional drivers and a booster seat.  I realize things cost money.  I just wish it had been explained to me.",3,US,2022-10-12,Neutral,car fine however beware fee extra driver cost money probably will not tell booster seat cost money probably will not tell either rental almost double add two additional driver booster seat realize thing cost money wish explain,12,October,2022
"The vehicle I requested, a Jeep Grand Cherokee, is not available through FOX. I received a 2019 Mitsubishi Outlander with over 65,000 miles, multiple dents and scratched on the exterior and a very rough interior.I was very satisfied with the staff and the service I received from them. But the condition of the vehicles I have rented from FOX have always left much to be desired. I will look to other agencies in the future.",3,US,2022-10-05,Neutral,vehicle request jeep grand cherokee available fox receive mitsubishi outlander miles multiple dent scratch exterior rough interiori satisfied staff service receive condition vehicle rent fox always leave much desire look agency future,5,October,2022
Excellent pick up service and returning easy and smooth thank you for helping me with my rental,5,US,2022-10-22,Positive,excellent pick service return easy smooth thank help rental,22,October,2022
Great experience from reservation to pickup and drop off.  Nice clean car and fair price.,5,US,2022-10-22,Positive,great experience reservation pickup drop nice clean car fair price,22,October,2022
"This company was not well known to me and was Leary of the company compared to all the common renters avis, budget and the like. The overall experience was as good and pricing was cheaper on average.",4,US,2022-10-16,Positive,company well know leary company compare common renter avis budget like overall experience good pricing cheap average,16,October,2022
It was a good experience.  Since the rental car lot is not at the airport it is a little more time consuming if you are not a patient persons.  They did provide a shuttle from and to the airport.,3,US,2022-10-10,Neutral,good experience since rental car lot airport little time consume patient person provide shuttle airport,10,October,2022
"Good price, but not so nice of a car. Poorly maintained.",2,US,2022-10-14,Negative,good price nice car poorly maintain,14,October,2022
"Very smooth, easy process from start to finish.",5,US,2022-10-10,Positive,smooth easy process start finish,10,October,2022
Rented a vehicle had to change my trip. Tried to call to change the reservation and could only reach a busy signal. Rebooked with updated dates and then realized this new rental had a 100 mile rental limit. Called and was told sorry there is nothing you can do the rental can’t be changed! This company is horrible!,1,CA,2022-10-23,Negative,rent vehicle change trip try call change reservation could reach busy signal rebooke update date realize new rental mile rental limit call tell sorry nothing rental can not change company horrible,23,October,2022
"Pick up and return processed easily. They added the gasoline fill up price to the bill instead of let you choose to fill up by yourself, this I don’t like.",4,US,2022-10-13,Positive,pick return process easily add gasoline fill price bill instead let choose fill do not like,13,October,2022
Fox provided us with the best price and a great car rental experience. Will rent again in the future!,5,US,2022-10-14,Positive,fox provide we good price great car rental experience rent future,14,October,2022
"The customer agent who helped finalize the paperwork was not friendly. By experience,  I did not judge the whole company on someone's bad mood (maybe she was having a bad day). It happened that I had a great experience renting with Fox. I would rent with them again. Thank you!",5,Other,2022-10-09,Positive,customer agent helped finalize paperwork friendly experience judge whole company someone bad mood maybe bad day happen great experience renting fox would rent thank,9,October,2022
I have not yet rent a car from Fox but made a reservation. Based on some of the reviews I found it necessary to contact the support function to sort out what add-on cost that I would have to consider at the pick up of the car. The person I was in contact with could not specify the potential adders I would have to consider at the pick up. Several e-mails were exchanged but the support was stalling and deliberately misunderstanding my requests. This made me very suspicious so in the end I gave up and will now cancel my reservation for the car.,1,US,2022-10-22,Negative,yet rent car fox make reservation base review find necessary contact support function sort addon cost would consider pick car person contact could specify potential adder would consider pick several email exchange support stall deliberately misunderstand request make suspicious end give cancel reservation car,22,October,2022
The shuttle was waiting at designated areaon October 12 Filling out needed paperwork was quickly done & I was on my way. Turning in car on October 19 was simple as well with shuttle available to get me back to airport.,5,US,2022-10-19,Positive,shuttle wait designate areaon october filling need paperwork quickly do way turn car october simple well shuttle available get back airport,19,October,2022
Place is a joke they and not at the airport  rental  place they are 15 minutes  away you have to take a separate  bus that you wait 20 minutes  for and the car I had was a piece of junk  never use this place again,1,US,2022-10-21,Negative,place joke airport rental place minute away take separate bus wait minute car piece junk never use place,21,October,2022
"Checking in was easy and fast.  Car, although small for my size, it was all I needed.  It was smooth to drive, had plenty of pick up and was great on gas mileage.",5,US,2022-10-15,Positive,check easy fast car although small size need smooth drive plenty pick great gas mileage,15,October,2022
"Excellent experience, Torrie and Tina were both fantastic!!",5,US,2022-10-12,Positive,excellent experience torrie tina fantastic,12,October,2022
"Good customer service. Helpful staff. Best price I could find for a week long, one way rental. Would use Fox again based on this experience.",5,US,2022-10-08,Positive,good customer service helpful staff good price could find week long one way rental would use fox base experience,8,October,2022
Cassie was very friendly and professional. She upgraded my car with no extra fees since the one I rented wasn't ready.,4,US,2022-10-15,Positive,cassie friendly professional upgrade car extra fee since one rent be not ready,15,October,2022
"Great service. Good value. Nice, modern cars. Excellent choice.",5,US,2022-10-05,Positive,great service good value nice modern car excellent choice,5,October,2022
"Unbelievably unprofessional. Poor quality cars and poor customer service and then if you tell them you're late the manager gets mad at you and put you on the do not rent list which you can't be removed from. Are these people for real? So sad,so unprofessional",1,GB,2022-08-25,Negative,unbelievably unprofessional poor quality car poor customer service tell you re late manager get mad put rent list can not remove people real sadso unprofessional,25,August,2022
I think there has to be alot more transparency of cost which will be added on when you go to collect the car. I felt I was ambushed with the $11.99 per day toll cost (my In-laws used Enterprise and they weren't charged this toll cost) and then i had to pay an extra £350 so I could have a car with sat-nav( i think this should come as standard). Ultimately I paid far more than what I expected. I will not be using this service again.,1,US,2022-10-04,Negative,think alot transparency cost add go collect car felt ambush per day toll cost inlaw use enterprise be not charge toll cost pay extra could car satnav think come standard ultimately pay far expect use service,4,October,2022
"The vehicle was generally in good condition, and very clean at the time of delivery. The personnel responsible for the delivery and reception of the vehicle were very responsible and diligent.",4,US,2022-10-16,Positive,vehicle generally good condition clean time delivery personnel responsible delivery reception vehicle responsible diligent,16,October,2022
"FOX rental car from 9/8 to 9/16/2022.  This rental was prepaid thru an Expedia reservation, 3 months before the rental date.  Late at night on 9/8/2022, they gave me a 3 year old vehicle with 65,000 miles, and it shook at 55 MPH.  The next day, called and told them about it.  They told me to take it back, and they would exchange it.  I did that. The next one was a 2 year old car with 55,000 miles. When I got my credit card statement, I found that they had charged me for a 1-day rental when I exchanged the defective car on the second day, but I prepaid, so there should have been no additional charge. I called the number on the statement, and they told me that the rental location would call the next day about the $30.34 charge.  The next day, October 19, 2022, a woman called me from FOX. (This review app would not let me show the correct Date of experience.)  She told me that I should have immediately returned the defective car on the night I picked it up.  (I can never 'should have' done anything).  When she asked me what the return date was, I initially made a mistake on the return date by one day, and when I tried to correct it, she accused me of ""changing my story"", then refused to listen when I repeatedly said the correct return date, kept talking over me, then she hung up on me.The credit card statement shows Los Angeles for the rental location for the $30.34 charge and for the $150 security deposit.  I don't know why.",1,US,2022-10-17,Negative,fox rental car rental prepay thru expedia reservation month rental date late night give year old vehicle mile shake mph next day call tell tell take back would exchange next one year old car mile get credit card statement find charge day rental exchange defective car second day prepay additional charge call number statement tell rental location would call next day charge next day october woman call fox review app would let show correct date experience tell immediately return defective car night picked never do anything ask return date initially make mistake return date one day try correct accuse change story refuse listen repeatedly say correct return date keep talk hung methe credit card statement show los angeles rental location charge security deposit do not know,17,October,2022
I'm terrible with names but the woman who checked me in was above and beyond nice and helpful. She assisted me with upgrade and gave me information on things to do in the area. Great experience.,5,US,2022-10-11,Positive,I m terrible name woman check beyond nice helpful assist upgrade give information thing area great experience,11,October,2022
Needed a rental for a wedding and used Fox. It was my first time with this rental company and I was pleasantly surprised by the efficiency. Staff was friendly and the whole experience was seamless. Would use again!,5,US,2022-10-14,Positive,need rental wedding use fox first time rental company pleasantly surprise efficiency staff friendly whole experience seamless would use,14,October,2022
"It was GRRREAT , Would do it again",5,US,2022-10-12,Positive,grrreat would,12,October,2022
"Very convenient location @ RSW. I wasn't flying and since it's on the outskirts of the airport, it was easy to find and get in and out of. I had reserved by phone, and the pick-up process took only a few minutes. The return was even easier. The agent had upgraded me without me requesting, and the SUV was clean and handled nicely.",5,US,2022-10-09,Positive,convenient location rsw be not fly since outskirt airport easy find get reserve phone pickup process take minute return even easy agent upgrade without request suv clean handle nicely,9,October,2022
"To keep it short, I'll just say the salesman was VERY pushy about getting the insurance and EXTREMELY pushy about the Toll fee protection which is exorbitant ($12/day is ridiculous when you can avoid toll roads by using your google maps). The car was in fair condition with stains, scrapes and dings. More concerning that the oil light came on before we left the parking lot (which they said to ignore) plus the steering control light came on later during our trip. The return process was absolutely stellar (super sweet lady checked us back in) and the shuttle drivers to and from the airport were absolutely wonderful. In the end, the price was right and it got us from point A to B. Can't say anything good about the counter guy who was a smarty pants.",3,US,2022-10-06,Neutral,keep short ill say salesman pushy get insurance extremely pushy toll fee protection exorbitant day ridiculous avoid toll road use google maps car fair condition stain scrape ding concern oil light come leave parking lot say ignore plus steering control light come later trip return process absolutely stellar super sweet lady check we back shuttle driver airport absolutely wonderful end price right get we point b can not say anything good counter guy smarty pant,6,October,2022
Seamless experience from beginning to end and car was much better than expected. I will definitely use Fox next time.,5,US,2022-10-12,Positive,seamless experience beginning end car much well expected definitely use fox next time,12,October,2022
This is my first time using this company I’m super satisfied with a friendly staff from this location,5,Other,2022-10-15,Positive,first time use company I m super satisfied friendly staff location,15,October,2022
"This was by far the least expensive rental. Be aware though that you're going to want/need the $11/day toll box (saved me about $75 as I went in and out of San Fran quite a bit) and there was another charge (not insurance I have my own) that brought my $175 rental up to over $300. This is typical when renting cars. I rented out of OAK in California. The service representatives were super friendly and knowledgable. Theres an off site center for all car rentals at OAK and theres a 24 hr shuttle back and forth. I had stayed overnight at a hotel though and took and the hotel shuttle there, it was a short, easy ride. My car had some damage to the exterior, so make sure you fill out that paperwork and take a snap shot of it. They offer both 1/2 and full tank gas refill. Worth it $1.25-2 cheaper then any gas stations I saw. Totally happy with everything. I travel all over the world and frequently.",5,US,2022-10-03,Positive,far least expensive rental aware though you re go wantnee day toll box save go san fran quite bit another charge insurance bring rental typical renting car rent oak california service representative super friendly knowledgable there s site center car rental oak there s hr shuttle back forth stay overnight hotel though take hotel shuttle short easy ride car damage exterior make sure fill paperwork take snap shot offer full tank gas refill worth cheap gas station see totally happy everything travel world frequently,3,October,2022
"The pick up and shuttle from the airport was good. Collection was horrendous and took ages. The car itself was OK but not exactly brand new, with quite a few bumps and scratches and the dash rattled a bit. The drop off procedure was good as was the shuttle back to the airport (except the air con was broken). The main problem was I got stung with over £700 charge on my credit card after the event for damage and liability cover that I hadn't been made aware of when picking up. I managed to get this refunded but as you can imagine was quite worrying when I hadn't expected it. Also overpaid on the toll charges as I didnt really need it when just driving from Orlando to theme parks, but this wasn't adequately explained either. Possibly just unlucky with the guy who checked me in..",3,US,2022-08-31,Neutral,pick shuttle airport good collection horrendous take age car ok exactly brand new quite bump scratch dash rattle bit drop procedure good shuttle back airport except air con break main problem get sting charge credit card event damage liability cover have not make aware picking manage get refunded imagine quite worrying have not expected also overpay toll charge do not really need drive orlando theme park be not adequately explain either possibly unlucky guy check,31,August,2022
The drop off was unorganized a lot of people barked and didn't know what to do next. They should have emailed us to dish leave the car there. My own car had performance issues vibrating tires that were worn out at 45 miles an hour it shook. Also there was a rattling engine noise in my vehicle that didn't go away at low speed it sounded like something with clicking or something,3,US,2022-10-01,Neutral,drop unorganized lot people bark do not know next email we dish leave car car performance issue vibrate tire wear mile hour shake also rattle engine noise vehicle do not go away low speed sound like something click something,1,October,2022
Fox had the best price for rental for our vacation. We received a great SUV and thoroughly enjoyed our trip. We had no issues with their service.  Great job!,5,US,2022-09-30,Positive,fox good price rental vacation receive great suv thoroughly enjoy trip issue service great job,30,September,2022
Best price and pick-up and drop off were the best thing.,5,GB,2022-10-11,Positive,good price pickup drop good thing,11,October,2022
"Pick up took ages, nearly 2 hours. Shuttle to and from airport was superb. The car was excellent, didn't get the one we ordered but got upgraded so we were happy. Drop off was easy and excellent. Price was easily the best available. Perhaps we were just unlucky with pick up delay.",4,US,2022-09-17,Positive,pick take age nearly hour shuttle airport superb car excellent do not get one order get upgrade happy drop easy excellent price easily well available perhaps unlucky pick delay,17,September,2022
Car had a lot of miles. Everything else was perfect.,5,US,2022-10-12,Positive,car lot mile everything else perfect,12,October,2022
Fast check-in.  Car I wanted.  Fast drop off check-in,5,US,2022-10-01,Positive,fast checkin car want fast drop checkin,1,October,2022
The lady who checked us in was wonderful.  The bus was there when we got to the airport and was there when we brought car back.  Everything went smoothly and would recommend them to anyone.,5,CA,2022-09-25,Positive,lady check we wonderful bus get airport bring car back everything go smoothly would recommend anyone,25,September,2022
Service was fast and convenient. Henry was such a great guy to deal with. Overall my experience was awesome.,5,US,2022-10-05,Positive,service fast convenient henry great guy deal overall experience awesome,5,October,2022
"My rating is 5 stars because of an employee in Fort Myers FL.  Her name is Amy she is from OH but works out of the fort Myers office.   She was amazing!   She helped us with our reservation and the drop off process.   She took very good care of us.  We rented a van so we could cart our kids around while they were visiting.  She took the time to listen to our plans and help us make the best decision for us and the plans we had for the week.   Our rental was for the week before Ian hit, so my review is late.  But I didn’t forget even after all the trouble with the hurricane.   She made a lasting impression.  I am grateful to her and her level of professionalism and kindness.  Thank You Amy!!  Sincerely Robert and Lori Pell",5,US,2022-09-16,Positive,rating star employee fort myer fl name amy oh work fort myers office amazing help we reservation drop process take good care we rent van could cart kid around visit take time listen plan help we make good decision we plan week rental week ian hit review late do not forget even trouble hurricane make lasting impression grateful level professionalism kindness thank amy sincerely robert lori pell,16,September,2022
We loved the 4 door jeep. The shuttle was easy to find at MCO Orlando airport. Pick up and drop off was a breeze.,5,US,2022-10-06,Positive,love door jeep shuttle easy find mco orlando airport pick drop breeze,6,October,2022
"Best rental car pick-up / return experience! The team made it so easy, I was sure something was missing, but they did a great and thorough job. Would highly recommend. Thanks!",5,US,2022-10-05,Positive,good rental car pickup return experience team make easy sure something miss great thorough job would highly recommend thank,5,October,2022
Overall we were very satisfied with the rental. The original car they assigned to us had some tire issues therefore they switched us to another car immediately. Price was best in seatac airport. I expected worst but was given the best. Thank you fox,5,US,2022-10-10,Positive,overall satisfy rental original car assign we tire issue therefore switch we another car immediately price good seatac airport expect worst give good thank fox,10,October,2022
Cars need to be cleaned both in the inside and the outside. People pay money expecting good service.,3,CA,2022-10-07,Neutral,car need clean inside outside people pay money expect good service,7,October,2022
"Excellent service, great value, vehicle exceeded expectations.  What more can I say?Jory Bocknek",5,US,2022-10-04,Positive,excellent service great value vehicle exceed expectation sayjory bocknek,4,October,2022
We were very happy about our experience. IF the price is right we may rent again in April,5,Other,2022-10-01,Positive,happy experience price right may rent april,1,October,2022
Fox Rent A Car - Rental carDo not rent from them . No customer service. We rented a Mitsubishi and the catalytic converter was stolen from the hotel. That being said I filed a claim with ins and then they promised to car a new car brought to us in the morning by 9am. I told them it had to be there by 9 we were meeting family at 10. He assured me it would be there his name is Mathew from roadside. Three times I asked him if he was sure and he said for sure will be there. So we had to Uber . Car did not get there until 2pm. Tow truck guy said never rent from this company he tows 25 of there cars a week because of this problem. Also vehicles are older and have over 75000 miles and they rent Mitsubishi veh wich are the easiest to get catalytic converter. When I dropped car off they would not pay for the Uber said I had to call roadside because they are the ones who said veh would be there not him. Hear I thought they were one company but all they do is pass blame. Well roadside would not help either they said to bad not there fault. They take no responsibility for anything. Now we have to pay our 500 ded and 100 in Uber charged because they did not bring my car in time. Never rent from this company.,1,US,2022-10-08,Negative,fox rent car rental cardo rent customer service rent mitsubishi catalytic converter steal hotel say file claim in promise car new car bring we morning tell meeting family assure would name mathew roadside three time ask sure say sure uber car get pm tow truck guy say never rent company tow car week problem also vehicle old mile rent mitsubishi veh wich easy get catalytic converter drop car would pay uber say call roadside one say veh would hear think one company pass blame well roadside would help either say bad fault take responsibility anything pay de uber charge bring car time never rent company,8,October,2022
"Fox rent a car is fantastic to work with.  From reservations to rental, to accident claims (yes I was rear ended), and turning in the car they were helpful and efficient.",5,US,2022-09-30,Positive,fox rent car fantastic work reservation rental accident claim yes rear end turn car helpful efficient,30,September,2022
"Not the nicest location but the price was right. In Miami the location is off site but the shuttle was quick. The rental and return experience was fine. They strongly recommend you get the toll pass, but depending on where you are going you might not need them if you want to save $12/day. The only place you can't avoid them is on a couple of the causeways and going south out of town (Alligator alley)",4,US,2022-10-08,Positive,nice location price right miami location site shuttle quick rental return experience fine strongly recommend get toll pass depend go might need want save day place can not avoid couple causeway go south town alligator alley,8,October,2022
Very easy to check in car performed right customer service was awesome. Will totally rent from fox again.,5,US,2022-10-06,Positive,easy check car perform right customer service awesome totally rent fox,6,October,2022
Kany in Seattle at pick-up location was awesome. I just was disappointed with the amount of up-sale that was done.,4,US,2022-10-05,Positive,kany seattle pickup location awesome disappoint amount upsale do,5,October,2022
"Very simply put:  The car was clean and well maintained; the staff was efficient, competent, and friendly. Overall the service exceeded my expectations.",5,GB,2022-10-04,Positive,simply put car clean well maintain staff efficient competent friendly overall service exceed expectation,4,October,2022
"DONT USE ! Con artists Over charged me £1000, sneaky underhand. I expressly told the girl no extras. No insurance no sun pass. I had 3rd party cover and would pay tolls. Really bad really really bad! Stay away",1,US,2022-10-06,Negative,do not use con artist charge sneaky underhand expressly tell girl extras insurance sun pass rd party cover would pay toll really bad really really bad stay away,6,October,2022
The Fox location is farther than I had expected. However the overall experience was positive.,4,US,2022-09-26,Positive,fox location far expect however overall experience positive,26,September,2022
Mayra and Dasca were wonderful agents and very helpful.,5,US,2022-10-04,Positive,mayra dasca wonderful agent helpful,4,October,2022
Pick up at the Tampa airport and customer service was outstanding.  The woman at the desk even walked me down to my rental car.  When returning my rental car to the Fort Myers location the woman who checked me in gave me a ride to the Fort Myers airport to pick up my personal automobile.  She is a genuine asset to the Fox Rental operation.  Kudos to her.  I Definitely will rent again from Fox.,5,US,2022-10-03,Positive,pick tampa airport customer service outstanding woman desk even walk rental car return rental car fort myer location woman check give ride fort myers airport pick personal automobile genuine asset fox rental operation kudo definitely rent fox,3,October,2022
Amazing Customer Services! Nice and clean car!,5,US,2022-10-02,Positive,amazing customer service nice clean car,2,October,2022
"Horrible experience, the guy at the counter told me a lower rate to have them fill the gas by 25 cents a gallon and DID not mention the crazy mark up for fees and taxes - I ended up paying twice what I would have if I had filled up myself. When I called the customer service line - I was basically told over and over that there was nothing they could do and I also found out I was charged for an upgrade that I did not actually have. I spent 30 minutes on the line during which I was put on hold 5 times while they ""checked"" - When I did not get tired and hang up they ended up saying there was nothing they could do. I will never use Fox rental cars again and I would advice you not to either.",1,GB,2022-09-26,Negative,horrible experience guy counter tell low rate fill gas cent gallon mention crazy mark fee taxis end pay twice would fill call customer service line basically tell nothing could also find charge upgrade actually spend minute line put hold time check get tired hang end say nothing could never use fox rental car would advice either,26,September,2022
"Misleading sales representatives gave incorrect information at the check in about fuel being cheaper if fox fill up and cost an extra $130. Misled around costs although booked through Wise Cars there were meant to be no hidden costs... this was incorrect, there were lots of hidden costs. I wouldn't use them again.",1,US,2022-07-10,Negative,mislead sale representative give incorrect information check fuel cheap fox fill cost extra mislead around cost although book wise car mean hide cost incorrect lot hide cost would not use,10,July,2022
"It was fast, easy to pick up and get on our way for our weekend trip",5,US,2022-09-30,Positive,fast easy pick get way weekend trip,30,September,2022
"The team at Fox rental car near Orange County Airport was great. The shuttle runs every 20 minutes and a 5 minute ride was easy enough. Upon returning the car, we were greeted with friendly service and the transaction took 5 minutes. The rental station was very clean. Thank You and we will see you again .",5,US,2022-10-01,Positive,team fox rental car near orange county airport great shuttle run every minute minute ride easy enough upon return car greet friendly service transaction take minute rental station clean thank see,1,October,2022
"First, we received ""the best"" service from everyone. From Kali who was so pleasant and helpful, made it possible for us to upgrade our vehicle...to the gentleman at the gate leaving the lot who asked where we were headed and directed us on how to miss traffic(Denver). Vehicle was clean and great condition. We used it for 10 days with no issues and so comfortable. Kali even advised us NOT to fill up in Las Vegas before dropping it off as it would cost less for Fox to fill it. When returning it was quick and easy. Great service and we will use them again. Thank you",5,AU,2022-09-04,Positive,first receive good service everyone kali pleasant helpful make possible we upgrade vehicleto gentleman gate leaving lot ask head direct we miss trafficdenver vehicle clean great condition use day issue comfortable kali even advise we fill las vegas dropping would cost less fox fill return quick easy great service use thank,4,September,2022
"Buyers beware! Think twice before renting with Fox Rent a Car and double check each dollar being charged before signing anything! We were blindsided on two seperate occasions:1. We were upgraded to the full insurance package despite only requesting liability insurance, costing an additional $100 per day at their San Francisco airport location.2. Upon arriving to the Denver location, the booked car was not available so they provided an alternative car and told us there would be no additional charges. However upon returning the car we were advised that we would be required to pay a $150 upgrade fee for the car.Two seperate occasions in different locations hinting at a workplace and organisational culture of extracting every available dollar from customers through untransparent and deceiving practices.",2,US,2022-09-23,Negative,buyer beware think twice rent fox rent car double check dollar charge sign anything blindside two seperate occasion upgrade full insurance package despite request liability insurance cost additional per day san francisco airport location upon arrive denver location book car available provide alternative car tell we would additional charge however upon return car advise would require pay upgrade fee cartwo seperate occasion different location hint workplace organisational culture extract every available dollar customer untransparent deceive practice,23,September,2022
"In the website they  said  one price and  went you pick up the Car it was 10 times the price and  extra  charges, be sure to take as many pictures of the car before you leave because they are going to blame everything on you and  check  the gas ⛽️ because if you  put  more than  you get the car they charges  you for that  too  next  time  is better  paid a taxi  is cheap",1,US,2022-10-04,Negative,website say one price go pick car time price extra charge sure take many picture car leave go blame everything check gas put get car charge next time well pay taxi cheap,4,October,2022
I got a reliable car for an affordable price. The car was on time when I arrived and the price was great. Just vacuum a little more.,4,US,2022-09-24,Positive,get reliable car affordable price car time arrive price great vacuum little,24,September,2022
"It was an easy check-in and drop off process. However,  we had a tire we had to fill up once or twice a day. When we picked up the vehicle it was at night, so in the day light we saw two places where it looked like a stone hit the windshield and it had two small cracks in it. They did not blame us or charge us, I was just concerned it would crack more while we had it.",4,Other,2022-09-17,Positive,easy checkin drop process however tire fill twice day pick vehicle night day light see two place look like stone hit windshield two small crack blame we charge we concern would crack,17,September,2022
"Our first shuttle from the airport set the tone for our experience. Helpful and courteous. The staff was professional but made us feel as if we were important to them. The car was extremely clean, had fuel and was exactly the model we wanted. Return was so easy, and transportation back to the airport was Johnny on the spot! We would definitely rent from Fox Rent A Car again!",5,US,2022-09-27,Positive,first shuttle airport set tone experience helpful courteous staff professional make we feel important car extremely clean fuel exactly model want return easy transportation back airport johnny spot would definitely rent fox rent car,27,September,2022
"Fox has become our first choice for rental cars. We strongly suggest that based on our consistent selections of rental services, Fox would flag our account that we don't need additional insurance and upgrade to avoid unnecessary upsell, time wasted, and hard feelings. We know what we need and will ask for it. We understand the nature of the front sale staff's job, but their pushy tactics, then obnoxious attitude after we decline cause poor reviews that might stop others from renting cars from Fox. However, the back office staff that take care car delivery and return indeed make it up for it. Much kudos for these hardworking guys in the lot!!!",4,US,2022-09-21,Positive,fox become first choice rental car strongly suggest base consistent selection rental service fox would flag account do not need additional insurance upgrade avoid unnecessary upsell time waste hard feeling know need ask understand nature front sale staff job pushy tactic obnoxious attitude decline cause poor review might stop other rent car fox however back office staff take care car delivery return indeed make much kudo hardworke guy lot,21,September,2022
Hurricane Ian prompted an early return at a different location- I received great service with no early return/drop fees due to the Hurricane. Wonderful kind service.  We will be back to Florida in the late spring and will be renting again!!  THANK YOU!!,5,US,2022-09-30,Positive,hurricane ian prompt early return different location receive great service early returndrop fee due hurricane wonderful kind service back florida late spring rent thank,30,September,2022
Great customer service! Highly recommend.,5,US,2022-09-27,Positive,great customer service highly recommend,27,September,2022
"The staff was great. They offered complete, detailed information and helpful suggestions. They were patient and pleasant.",5,US,2022-09-18,Positive,staff great offer complete detailed information helpful suggestion patient pleasant,18,September,2022
"Pick up and delivery were very smooth, very professional !",5,US,2022-09-30,Positive,pick delivery smooth professional,30,September,2022
Pick up was hectic but everything was top notch. Will rent from Fox again.,4,PL,2022-09-27,Positive,pick hectic everything top notch rent fox,27,September,2022
My experience with Fox was very positive. Pick and and drop off was quick. They also provided to me a replacement car after an issue with the windshield cased by other car on the road. It was solved promptly and without any problems.,5,CA,2022-09-28,Positive,experience fox positive pick drop quick also provide replacement car issue windshield case car road solve promptly without problem,28,September,2022
"Everything went smoothly. Staff was friendly, and we had no problems with the car. Drop-off was super fast and easy.",5,SI,2022-09-20,Positive,everything go smoothly staff friendly problem car dropoff super fast easy,20,September,2022
