Review,Rating,Location,Date of Experience
"Everything was awesome, I rented the car , after a while with only one telephone call I extended the period of the rental. All in all renting the car from Fox Rent a Car was a great experience.",5,US,"September 28, 2023"
"The people were great, the extra revenue generating fees were not needed.  Just make the price of the rental the price.  Adding on all sorts of after the fact fees made the good rate only so-so",4,US,"October 29, 2023"
Great vehicle at a great price. We waited almost 30 minutes for the shuttle and another 30 minutes in line at the rental counter. But we got a vehicle upgrade so it’s ok.,4,N/A,"October 22, 2023"
"Other than waiting at the counter for nearly 30 minutes our experience was very good.  The Camery was very clean and operated well, very impressed with the gas milage.  The return check-in was hassle free and quick.The price was competitive...we'll be back.",5,GB,"October 22, 2023"
"Absolutely avoid, avoid, avoid. Insurance scam-hidden charges.I arrived at the LAX to be served by a staff member who thought it was ok to charge me for insurance even though Orbitz had already charged me for it. I also had an additional all risks insurance policy which I buy annually-again this wasn’t acceptable. Basically it’s a hidden insurance scam between Fox and Orbitz. I ended up $250 out of pocket.On the plus side the SUV I hired was in good condition but I only had satnav by checking about 10 SUV in the car park as some didn’t have the sat nav download. Return process and courtesy bus back to LAX was fine.Why use travel apps like Orbitz and unknown car hire companies when you have reliable companies like Hertz and Dollar.",1,US,"October 22, 2023"
That for the service and rental of car.,5,US,"October 22, 2023"
"Mr. Clyde was knowledgeable set me up for success he was true and honest, but gentle with his words. I appreciated this kind of service at such a stressful time. He is tall guy curly hair African American brother.Thank youSankofa PCS,LLC🌱",5,US,"October 07, 2023"
Great prices however there is a need for much better directions when arriving at the L.A. airport,4,US,"October 21, 2023"
"No long line or wait. Great car — An upgrade from my request and brand new. Easy, painless checkout. Reasonable fees. Will definitely use Fox again. I felt sad for all those people in the long lines at the competitors kiosks. They missed out.",5,CA,"October 27, 2023"
Quick pick up and drop off.   Rates are so much better than other companies,5,PA,"October 14, 2023"
The attention of the great staff is a great differential,5,US,"October 21, 2023"
"Quick efficient, very friendly service, quick shuttle and the unexpected upgrade.",5,US,"October 25, 2023"
This weeks rental was good I hate to say I would recommend fox just because the last time I had a prepaid rental I showed up and they had no car for me,4,US,"October 15, 2023"
"Great, I like the service , nice customer service",5,US,"October 19, 2023"
pick-up was slow and told me $50 for extra driver when I got final bill it was $75 above my original quote,3,US,"October 24, 2023"
Outstanding service from the shuttle bus to behind the counter to the return people. Traveled to Orlando during MEA weekend. Never rented from FOX. Off site rental is the ticket vs. on the grounds of the airport. Saved $200. Will do it again!!,5,CA,"October 19, 2023"
"As l mentioned, your team is excellent!",4,US,"October 22, 2023"
Good prices and excellent service.  Pick-up and drop-off could not have been easier.,5,US,"October 19, 2023"
Super fast and easy to get the car and drop it off. The people were great and the car was perfect for what I needed.,5,N/A,"October 18, 2023"
Everything went smoothly and representatives were honest.,5,CA,"October 25, 2023"
Easy pick-up and drop-off procedures.  The only downside is the pick-up takes longer than expected.,5,CA,"October 22, 2023"
Very good service. All vehicles are new and very clean from interior and exterior. I will use their services again on my next visit.,5,FR,"October 18, 2023"
Nice people in desk officeEasy pick up and returnA mecanic problem with the 1st car  was immediately swap with another car. Great experience,4,US,"October 15, 2023"
"Overall good experience. Many people were leaving the cars on the road, but the staffs were very calm and helpful. The Gas price info was deceptive to buy full gas tank. Label says $ 6.99 outside and Fox charges $5.99. Outside it was $5.19. Deceptive business practice. Otherwise nice ecperience",5,US,"October 22, 2023"
"The staff was incredibly accommodating. There was a delay because of other clients not returning vehicles in a timely manner, and I feel I was fairly compensated for my trouble. I support this team and management.",5,US,"October 18, 2023"
Loved the shuttle guy and the young lady at the pickup office,5,US,"October 20, 2023"
Efficient. Great service.,5,US,"October 14, 2023"
The ease of pick up and drop off was excellent. We do not rent cars often so anticipated a harder process. It was simple and fairly quick. The car was great and better than expected. We will definitely use Fox again!,5,US,"October 15, 2023"
Was able to get a car earlier than planned.,5,US,"October 24, 2023"
"Edit: I fist believed I’d been grossly overcharged- (showed on my CC as a lot more than expected) but have since had the charge modified to what I expected it to be. So overall this has changed my rating from 1 to 5 for FOX. However, I’d book directly in future - NOT through Priceline.Car was fine. It was upgraded (according to the person who helped me) and was clean.",5,US,"October 26, 2023"
"Finding the shuttle at the airport was simple and friendly drivers. Amazing agents at the desk, the ease of renting a vehicle, my rental was clean, the ease of returning a vehicle and the fact that everybody spoke English. Not to mention that there were no hidden fees on my bill, and I didn't feel like I was trying to get scammed. Can't wait to do business with Fox again!",5,US,"October 18, 2023"
The company provided a nice selection of vehicles to choose from. The pickup as well as drop off procedures are smooth and if timed right the shuttle will arrive before you know it. Thanks to the shuttle driver informing customers that they run every 30 minutes. Awesome experience!,4,US,"October 12, 2023"
"The staff were helpful, courteous and friendly.  The car was comfortable, ran well and very economical.  Return was a breeze.  The shuttle service was prompt and the driver was personable.  Great experience!",5,US,"October 11, 2023"
From the lady at the counter to the gent who pointed the car out to me to the lady who checked me out all great service providers.Easy out once done at the counter.Easy return when finished using the car.Thanks for making it easy!,5,NL,"October 17, 2023"
"everything was neatly arranged, we also delivered neatly and neat company",5,US,"October 22, 2023"
"Best price by far so well worth it. Just be aware that it was an off airport site that required a second shuttle and once there the line to get the car moved slowly, so expect to spend a fair amount of time getting the rental squared away. also there was a lot of up selling ( get this insurance or that insurance) which i mostly declined.  but overall the price was great, the car was fine and the return went smoothly and quickly so well worth it and i would use Fox again.",4,US,"October 20, 2023"
"Pickup and return were uncomplicated and convenient. The staff at the desk and the parking lot was helpful, friendly and knowledgeable. The van was in excellent condition, had all the bells and whistles and was easy to drive. Overall it was a great experience",5,US,"October 23, 2023"
Quality clean vehicles any friendly helpful staff.,5,N/A,"October 20, 2023"
The only thing that is a bummer is that you have to wait in line. There were lots of agents but still it took me an extra 45 minutes with wait time.,5,US,"October 24, 2023"
"Everythings was perfect, great value for money",5,US,"October 21, 2023"
"The crew was helpful, and created a wonderful experience.",5,US,"October 17, 2023"
"Great staff made it easy to pick up and drop off. Car was as advertised in terms of make, model and size.",5,US,"October 21, 2023"
Excellent customer service. No wait. Great vehicle.,5,US,"October 22, 2023"
Overall very pleasant and helpful.  Did not push any extras.  Very efficient.  Thanks,5,US,"October 18, 2023"
Everything was great with the exception of picking the car up.  I waited in line for an hour as there was only one person working the counter.,5,US,"October 17, 2023"
I had questions specifically about insurance coverage before I even rented the vehicle. I chatted online and got all the information I needed to feel secure that I wasn’t going to get hit with additional charges at the counter.  I had a bad experience with another rental company earlier in the year.,5,US,"October 09, 2023"
"Simple and to the point. No gimmicks, no issues. Easy as 1, 2,3",5,US,"October 10, 2023"
Easy and quick pick up and return… friendly staff.,5,US,"October 22, 2023"
"The customer service was exceptional, everyone was helpful and very professional. It was a very pleasant experience.",5,US,"October 17, 2023"
"Love the drop off process but I wish the pick up process was just as easy.  I waited in line for over half hour and I had prepaid for my vehicle.  I wish I could have just gone up to the floor and once my identity was verified, I would have been handed a set of keys but, no. I waited in line and then I had to go through the whole process where I get asked the 15 questions by the clerk.",3,US,"October 11, 2023"
Very good rental company to work with. Next car rental for sure will be FOX.,5,US,"October 23, 2023"
"Easy pickup and dropoff, but none of the cars have a GPS system...None, None, None!!!",4,US,"October 14, 2023"
Staff was extremely helpful. Grateful that they had availability as the other company that we per-booked did not have a car for us.,5,US,"October 20, 2023"
"Agents are helpful and friendly, shuttle service is great!  Your rental car will probably be dirty and if that bugs you, then skip.  Be sure to fill up your gas tank across the street from the drop off or they will charge you $$$ to fill up a gallon of gas you used to drive there.",3,CA,"October 23, 2023"
Great service! The agents at the desk and at the parking garage (pickup and drop off) was very friendly and professional!,5,CA,"October 19, 2023"
easiest Rent-A-Car company I’ve ever done with in my life everything was professional from the time of greeting to the actual picking of the vehicle. Everything was explained to me and it was easiest pie. Totally recommend them.,5,N/A,"October 04, 2023"
The customer agent was engaged and curtious. Thankfully there was no long lines and the whole process was quick and efficient.,5,US,"October 14, 2023"
Fox has very reasonable prices and the vehicle selection is great. The staff is also very personable.,5,US,"October 16, 2023"
Good experience with staff although they didn't have the car model I ordered and I ended up in a van.,4,US,"October 19, 2023"
"We had a great experience with getting the shuttle over to Fox, then when we arrived and Carleena was our rep who was so incredible! She was able to upgrade the car we had due to the promos going on. We got to choose which one we wanted and Carleena walked us out let us select and off we went!",5,US,"October 19, 2023"
the employees were great and they had cars when nobody else did,5,US,"October 19, 2023"
It was very smooth service no waiting and quick pickup and return,5,US,"October 18, 2023"
"Great customer service, value for price, checkout process, and car selection",5,EC,"October 17, 2023"
"Positives: Nice rep at the counter while picking up the car; easy drop-off and quick shuttle service to the airport. The car itself was no frills with a bit of a glitchy cruise control, but it served its purpose. Not so positive: Being charged $110.00 upon return for an extra driver and insurance which I hadn't requested nor used. It took several hours over 2 days with many phone calls to my bank, Fox itself, and a 3rd party through which I had reserved the car. I prevailed in the end, but it was irritating and makes me hesitant to use them again. Maybe...",3,US,"October 20, 2023"
"All the personnel were really nice, from the counter person to getting the car. The guy that took me to my car was about to get off work but he could see the other guy was busy so he helped me and I didn't have to wait.",5,US,"October 17, 2023"
The whole FRAC team was amazing to work with while renting the car and they had a fantastic selections of cars to choose from after checking in.,5,US,"October 19, 2023"
Best value renting at SD airport. With no sacrifice for convenience or customer service.,5,US,"October 16, 2023"
"I was recommended to use Fox. I was pleasantly surprised at the quick and efficient time it took to receive my car. The Fox rep was very nice and even offered an upgrade, but I declined. On my return, the process was also quick and efficient. I received my email receipt even before I got to the airport. My only problem was that Fox could not drop us off at the departure doors, but that was not the fault of Fox. It was a new rule with LAX. I will be looking to rent from Fox in the future.",5,US,"October 04, 2023"
"The 2023 Toyota RAV4 performed flawlessly and got terrific gas mileage, 38.3 mpg, and it was not even a Hybrid.",4,US,"October 22, 2023"
"First - the young man who helped us.....was amazing!  Very kind!  Very professional!  Very fast!  Our pick up was easy - the older gentleman had our car doors open for us and the car even cranked!  Our Eco/SUV was GREAT!  Just what we needed and wanted!  And our return was quick and easy!  We do not rent vehicles often, this was a GREAT experience.  I highly recommend FOX!",5,US,"October 17, 2023"
"Quick and Easy pick up, Drop off and friendly staff. Especially Areisha!!",5,GB,"October 21, 2023"
Avoid them and don’t trust what they saying and read documents twice before you sign they try are liars !!! Never use them again,1,N/A,"October 13, 2023"
I wish the signs at RSW were more clear to find the shuttle.,4,US,"October 14, 2023"
In out fast at checkout n checkin at SeaTac. Offered a very nice upgrade.,4,CA,"October 16, 2023"
"The staff were professional and kind.  The process was fast and efficient.  We got our car right away, it was spotless, inside and out, and smelled like the day it was born.  When we dropped the car off we were met by a lovely person who quickly and efficiently sent us on our way to our flight, even pointing out the way to the shuttle bus for us.",5,US,"October 15, 2023"
Pickup at airport was good but was unhappy that the Fox bus took me to another pickup location on the way back to the airport which was really Packed.,4,US,"October 20, 2023"
"I got a fantastic price below U$50/day and two nice upgrades. There was a smelly sensation, tough.",4,US,"October 18, 2023"
"A economy rental company, prices are good however having rented from them several times and 50% of vehicles I had to exchange due to mechanical issues. The team at airport was gracious and the roadside team was also helpful, it is when I dealt with ""offshore"" support that there was a disconnect.",3,US,"October 16, 2023"
We like having a great car rental using Fox Rent a Car. The process of check in and check out were smooth and the reservation is very courteous. The customer service is also very helpful to us during the rental.,5,US,"October 21, 2023"
From shuttle driver to the person at the front desk and picking up my car and off I went everything went smoothly I will recommend this company,5,US,"October 13, 2023"
"Check in with Mary was a true delight.  I know, you're all saying no way...but she was quick, kind, informative, and had great knowledge of the cars available in each class.  A rarity in today's customer service industry!",5,US,"October 10, 2023"
Great experience easy processing and return,4,US,"October 17, 2023"
"Tamica was great when I returned the car. Very helpful and friendly, and her suggestions saved me the cost of an Uber.",5,US,"October 21, 2023"
It was the customer service for me Lisa Gould at the Ft Myers location was really helpful thank you,5,US,"October 10, 2023"
"The fees are misleading , but overall decent experience.",4,US,"October 18, 2023"
Very good experience with Fox in Tampa international. Will definitely rent from them for future trips. The price was considerably less than competitors and customer service was excellent! Jose made our rental experience a great one! He’s a true asset to Fox!,5,US,"October 14, 2023"
Brand new car. Great people working there!,5,US,"October 17, 2023"
Candrade was great!,5,US,"October 11, 2023"
When I arrived at the car rental counter. I was flustered. I had lost my phone and my card wasn't activated.The lady at the counter was so calm. She helped me so much. Made my day 💯 better!Customer service picking up and dropping off was an Awesome experience!I will definitely be back!,5,N/A,"October 12, 2023"
"The shuttle driver pulled up as we were about to call from the call box.  Perfect timing. Everyone was very nice and helpful.  When we returned the car at 5:30 in the morning, the shuttle driver pulled into the lot within three minutes.",4,US,"October 13, 2023"
"Easy to work with, easy to pick up car, easy to return!",5,US,"October 14, 2023"
"First, the great price on a rental is what caught my eye. Then they had a vehicle I could use available just the day before my trip!, then it was the non existent line when picking up the car.  The people serving me were just wonderful.  Fox offers more in conveniences  and simplicity than other rentals. Return was even easier.  1 quick look around and I was good to go,  No Waiting!! Will definitely use them again.",5,US,"October 09, 2023"
"The pick up is very swift, and the girl behind the counter was courteous. Very happy and satisfied with my experience.",5,US,"October 12, 2023"
Good customer service. Just wish I got the vehicle I made a reservation for. But everything else was good.,4,US,"October 13, 2023"
Good car but shoddy practice by forcing customers to pay more for car they did not want.,3,US,"October 17, 2023"
Easy to get. Easy drop off.,5,US,"October 14, 2023"
"2 shuttles to get to Fox's location, we returned our rental early so we didn't have to deal with the shuttles before flying home! Our seat belt had broken glass in it so it wouldn't fasten & the alarm went off until we got to our hotel! We had to dig the small glass fragments out in order to it to fasten properly! We'll gladly use fox again in the future but not in Las Vegas",4,US,"October 12, 2023"
"The experience would have gotten 5 stars except they lied about local gas prices.  They made it sound like a bargain to pre-pay the gas, meanwhile actual gas prices were MUCH lower than they told me.  Otherwise, the rental was great.",4,US,"October 09, 2023"
"Vehicle was not cleaned or detailed but ok, no evidence of previous smoker so acceptable.  Loved the ability to pick up at one location and drop in a different location.  For that reason, would use again!",4,US,"October 13, 2023"
"From pick up to drop off, my experience was great!",5,US,"October 17, 2023"
"Easy pick up process and very clean, new cars!",5,US,"October 14, 2023"
"The experience was great. The shuttle driver to the rental facility was extremely entertaining, constantly cracking jokes. The woman who helped us at the counter was really nice and very helpful. We got a free upgrade to a roomier vehicle, and it was very reliable for the 9 days we had it. Very impressed!",5,US,"October 05, 2023"
Dependable vehicle that got good gas mileage,5,US,"October 10, 2023"
"Easy pick-up, easy returns, and good customer service. Everyone’s experience is different, but mine was great.",5,US,"October 08, 2023"
"Kerrie was excellent and made picking the car up super easy, esp because it was my first time",5,US,"October 15, 2023"
"The car rental at the austin airport is super convenient as the cars are parked right next to the airport hence no bus needed to get to counter. The pickup process at the Fox counter is fast and easy, and so is the drop off. I thoroughly enjoyed the suv I got and it was one of the better deals I found online.",5,N/A,"October 14, 2023"
"I didn't know where to get my rental at first, but once I learned and got the shuttle, everything and one was excellent. Mr. Edward took great care of me, and my rental condition was like brand new. Everyone was personable and friendly from start to finish.",4,US,"October 12, 2023"
I like clear rental contract and quick pickup and drop off,5,US,"October 14, 2023"
"Customer Service, helpful team members.",5,US,"October 09, 2023"
The agent we worked with was very pleasant and professional.  We were very happy with our vehicle and overall experience.,5,US,"October 11, 2023"
Staff members are well behaved and friendly,5,US,"October 17, 2023"
Outstanding service & the efficient use of time !!Staff was very helpful & friendly !!,5,CA,"October 13, 2023"
"The entire experience renting the car was amazing. The process was quick, the service amazing and the car was superb. Would definitely recommend and use their services again.",5,US,"October 18, 2023"
"I always use Fox when available. The service is fast, the cars are clean, and pick up/drop off is always easy.",5,CA,"October 10, 2023"
Great cars and great service will definitely be back,5,IE,"October 11, 2023"
"I had previously rented from Dollar in Los Angeles LAX and compared to the terrible experience I had with Dollar, I highly recommend Fox.  Dollar left me without any vehicle for over two hours while Fox, in Orlando, who also had  a lack of the mid size suv I requested, immediately provided me with a full sized suv….no waiting! Well done Fox!",5,US,"October 15, 2023"
"I was in and out in 10 minutes getting my rental. My car was nice, new and clean. Drop off was really easy. The shuttle was super quick both at pick up and drop off. I will be using them again. Thank you FOX. Also, their employees at the rental office are very nice.",5,US,"October 17, 2023"
Easy to acquire vehicle and staff was friendly. Vehicle was clean and in great condition.,5,US,"October 14, 2023"
"Service with Fox rent a car was easy, reliable and pleasant.In SF it took me a while to figure out where was a shuttle bus.Desirable a clear sign where to go.The rest was great.",5,US,"October 04, 2023"
I was very pleased with the ease of the FOX Car rental- from the shuttle ride from the airport to the shuttle ride back. The car we were given rode smoothly and had plenty of room for my travel needs. The staff members were helpful and understanding with my questions.,5,US,"October 17, 2023"
Had a great experience! Lovely people and great value for the car,5,US,"October 13, 2023"
The staff was extremely helpful and went above and beyond to make me feel important.,5,US,"October 09, 2023"
Everything went through just fine and even got a vehicle category upgrade for free since they were lacking one in the category I reserved.,5,US,"October 10, 2023"
Great experience and price,5,US,"October 15, 2023"
Excellent staff and the price point was better than the competition by far.,5,US,"October 10, 2023"
Picking up and returning the car were quick and straightforward.  The RAV4 i picked up was perfect for my week long road trip.,5,N/A,"October 10, 2023"
Dealing with the staff everything was good,5,US,"October 20, 2023"
"Great service, easy in & out",5,US,"October 18, 2023"
Jesse took good care of me and I was in and out quick.,5,US,"October 16, 2023"
Good service and a great price on the rental. Paid 1/2 price compared to other rentals. Will use again on my travel. Thank you Booking.com for this lead.,5,US,"October 04, 2023"
"1st time user of your company. Visiting my daughter for her birthday and Miguel upgraded our car and no extra charge to my daughters favorite SUV, she was so excited when we showed up in that.  Miguel was very professional, courteous and friendly. Very good customer service skills.  Downside would be we had to inspect the vehicle with very little light and it was wet from being washed, so we missed a lot of minor damage we didn't mark on the paper card and was worried we would get changed.  Very happy you did not charge us for those items.  Now the older ""exit security guard"" male that greeted you as you exited the lot after picking up the car was very rude, NO customer service skills at all.  Had we not had such good customer service with Miguel, we would have probably planned on not using your company again because of that ""exit security guard"" guy. At an exit gate, in the dark, in a town we are not familiar with, knowing we had an hour drive to our daughters house and getting his attitude was not the way to start our trip in Denver.  Thank you Miguel for saving the bad start.",4,US,"October 11, 2023"
one of the easiest check in and check out rentals I have ever done.  Very convenient and the best thing is it was about half the price of the big boy car rentals. I will always look for a Fox car rental first before any other company. PERIOD..,5,US,"October 13, 2023"
"We flew into Salt Lake City for the eclipse and had to get a car to take us out into the desert. Brianna was amazing and super helpful! Great price and great vehicle, made the whole trip super simple.",5,US,"October 12, 2023"
"Quick and friendly service, and a surprise upgrade to a nicer model car",5,AU,"October 11, 2023"
Everything was perfect from the moment I made my reservation until the moment I returned the car.,5,US,"October 16, 2023"
The price was competitive and the personal were easy to work with. The only negative was the extra shuttle ride to Fox rental.,5,US,"October 09, 2023"
Slow service at pick up. Staff doesn’t seem to care how many people are waiting in line.,4,DE,"October 12, 2023"
"Great service, great car, and excellent price",5,US,"October 10, 2023"
"Fox car rental makes it very easy to rent cars. What I have liked best about them is when I’ve needed help which has only been a few times, they listened and truly helped me out. I have a mother in memory care near the Tampa area and twice I had a few situations where I needed help. And they did and was great about it!!!",5,US,"October 02, 2023"
My favorite car company. good prices cars are decent. centrally located at LAX. Quick in and out low pressure lots of staff so short lines. Really good experience.,5,CA,"October 19, 2023"
This was the first time I have used Fox Rent a Car.  I have to say it was the most efficient vehicle rental I have ever used.  The team members were friendly and were able to get us on our way very quickly.,5,US,"October 08, 2023"
Beautiful car wonderful experience Great Customer Service,5,US,"October 15, 2023"
"Car, price and service were great! However, it is quite far off site from the airport and requires 2 shuttles. I recommend just taking an Uber there and back so you don't have to stand in line for the shuttles and waste time.",4,US,"October 07, 2023"
Anna explained everything and even showed us places to visit while in Utah.,5,N/A,"October 05, 2023"
Emanuel provided knowledgeable customer service,5,US,"October 16, 2023"
I have rented from Fox in a few different states. The cars are usually not the cleanest and sometimes I’ve had minor mechanicals but overall I keep renting from them. The staff has always been polite and the fees to change drop off/return are usually reasonable.,4,US,"October 15, 2023"
Easy pick- up and friendly staff.  Perfect and clean car.  Quick pick- up at convenient location in rental center.,5,US,"October 13, 2023"
provided a good reliable car promptly and at a reasonable price.,4,CA,"October 07, 2023"
"Best rental experience I have ever had. No line ups, good customer experience, easy drop off.",5,US,"October 10, 2023"
"Great service, rates and vehicles",5,US,"October 08, 2023"
The shuttle driver at the airport was gracious and patient. The staff at the desk were helpful and efficient. The car worked perfectly and the return was easy and smooth. How do you improve on that?,5,US,"October 14, 2023"
"The lady at the desk was professional, informative and very helpful. She took good care of my family and I. We walked away with a great experience from this company.",5,US,"October 14, 2023"
Pickup was seamless. The lobby needs some serious upgrades and cleaning but otherwise our service was outstanding. The car was not clean inside or out. Willing to overlook due to value.,5,US,"October 11, 2023"
This was the first time that I’ve used to Fox rental cars. It was easy to check in and to check out. Everything was effortless and the car was well-maintained.,5,US,"October 15, 2023"
"At the time of reservation, the the Fox price was very competitive.  Because I had made an advance reservation the high demand for vehicles on my pickup date was not a problem.  The return was painless.",4,US,"October 07, 2023"
"Helpful, friendly service. The only issue I had with Fox is that they left the pick-up area before 12:00am, leaving me stranded and having to rent another vehicle to get to my destination. Our SW flight was delayed half an hour. We arrived at 11:37pm, and having no bags we were at the pick-up area at 11:50. The Fox shuttle had just left, just missed it. And that is on me! Had I called ahead, I am sure Fox would have waited the extra few minutes to fetch my wife and me. Can’t over communicate too much. Once I did get to Fox the next morning, everything worked out splendidly.",5,US,"October 09, 2023"
"I'm very tall and my passengers are also, the staff provided me with an upgrade to suit my height! With no problem!!!",5,US,"October 13, 2023"
Everything went very smoothly and the car looked and smelled new. I was surprised about how fast the shuttle came and how close it was to the airport.,5,US,"October 12, 2023"
A great value.   Service was outstanding.  Will rent again from Fox.,5,US,"October 11, 2023"
Great service Nice car! Easy process!,5,US,"October 16, 2023"
I did not like the wait time in line and even after being in line.,3,N/A,"October 15, 2023"
"Quick paperwork, and quicker car pickup. The car provided was nice and clean.",5,US,"October 10, 2023"
Great customer service - I always rent from Fox while traveling to Florida - never an issue-  …. One little qualm - I wish the cars were cleaner inside. Besides that I love this company.,5,US,"October 18, 2023"
"EXPERIENCED PEOPLE TO DEAL WITH. GOOD PRODUCTS AND VERY EASY, EFFICIENT RETURN,,,",5,US,"October 14, 2023"
Excellent service the car was awesome. Very friendly there we will definitely be renting from here again.,5,US,"October 03, 2023"
"Low rate, ease to book, easy pick up and return",5,US,"October 08, 2023"
The employee Tyson who helped me was super friendly and very informative. I will definitely rent from FOX again!,5,US,"October 18, 2023"
Great customer service experience. The workers are awesome.,5,US,"October 11, 2023"
"My rep at pickup, Lisa was an outstanding professional.  She managed the entire experience in the smoothest and relaxing way possible.  One of the best rental car experiences of my life.",5,US,"October 08, 2023"
Im very satisfied with my Rental. It’s my second time renting on this company. Never got a Bad experience with it.,5,US,"October 01, 2023"
"We really appreciated your staff member Charnika at the Oakland Airport. Prior to serving us she had a difficult client who seemed to require extra service and didn't quite have everything they needed to secure their rental. We waited behind them at least 15 minutes while they went through the process. Charnika remained calm, pleasant and professional with that group, then had a smile to greet us when we approached. Beyond that I am hard of hearing and while I could not hear everything, she said, she was apologetic, patient, extremely understanding and accommodating.  She went above and beyond to ensure we understood and had everything we needed. It can often be challenging to receive service with a genuine smile and positive temperament but Kudos to Fox for employing and hopefully elevating such a pleasant, positive, and professional agent, Chanika, she is definitely an asset. Please make sure she is aware of our appreciation.",5,US,"October 08, 2023"
The stall was very friendly and accommodating. The vehicles are nice and clean.,5,GB,"October 16, 2023"
Easy to use great price superb staff and new car,5,US,"September 29, 2023"
"Car was older but I got it at a cheap daily rate so other than pulling to the left when braking, no complaints.",3,US,"October 05, 2023"
"Car was clean and in good condition, no wait for pick up or drop off, great price",5,US,"October 04, 2023"
"Due to a change in flight plans, I arrived a few hours early for my pick up. The facility was short on cars, so I understood that customers arriving at their designated time were prioritized. Regardless of my situation, the desk attendant went out of her way to make sure we received a rental as soon as possible. She even went out of her way to personally go to the returns and retrieve and wash a car that had just been returned. I greatly appreciated how she went “above and beyond”. The return of the vehicle was also very efficient. Overall very satisfied with my experience.",5,US,"October 06, 2023"
Initially I was given the wrong class of vehicle that I prepaid for and didn’t realize it until I got to the pickup counter.  The manger went above and beyond to accommodate me when he didn’t have the size of vehicle I reserved.  Everyone was excellent and I sincerely appreciated it.  I received a much nicer vehicle than I expected.  The car was clean and the process from pick up to return was seamless.,5,US,"October 11, 2023"
"The staff was great, friendly  & helpful both at pick up & drop off. Nice clean new vehicle",5,US,"October 07, 2023"
"I didn't wait for anything,  the staff was amazing and quick and the vehicle I got was a great fit for me.  Thank you so much! Patricia W",5,N/A,"October 07, 2023"
Employees were great and friendly. The ease of renting a vehicle to start our vacation but this company got things started on the right foot. We will use this company again.,5,US,"October 07, 2023"
"Eventhough Fox is not at the airport, the shuttle is frequent. Good pricing, and I like that I have a choice of vehicles when I arrive. I wish they were at more airports.",5,US,"October 07, 2023"
Professionalism with a smile. Quick and wasy,5,US,"October 08, 2023"
"Very friendly stuff, and actually getting a car was very simple and easy.",5,US,"October 07, 2023"
Great rate great car,5,US,"October 13, 2023"
I rented the car from SFO. Although it required shuttle bus to pick the car. But the rental location is very close to the airport so the shuttle ride is very short. Basically you paid 30% less comparing if you rent the car from the airport,5,US,"October 09, 2023"
rental made easy and affordable. Great quality employees and great quality cars,5,US,"October 11, 2023"
"We verbally declined LDW coverage, but mistakenly initialed that box, and didn't notice the extra $23.99 daily charges until after we returned home.  The agent who rented the car to us was nice, and imagine this must have been an error on her part, but we are not happy about the extra charges for coverage we told her we did not want.",4,US,"October 09, 2023"
No problems picking up or returning the vehicle. Everything was satisfactory.,5,US,"October 14, 2023"
"Tell Valeria that my family says: THANK YOU!!!! She processed my vehicle return. She went above and beyond. She actually brought tears to my eyes once I made it home to review my invoice. My father had a stroke while we were in Chicago for his Dr’s appointments and I could have not anticipated how helpful she was in all that I had experienced during this rental. Pay her what she is worth!!! Keep her close to your customers!! Every time I return a rental she is nice but actually having to speak with her for assistance, I am more than happy to continue using Fox as my go to rental car company when I am in Chicago. It’s people like Val and Dennis who checked me in (he also helped dad and I with returning the vehicle that had a tire blow out during this rental) that keeps corporations in business. Not the executives that are far removed from the trenches. Recognize these two employees for their amazing customer service and willingness to make Fox Rental shine above the competitors. Pay them their worth!!!!! I am truly grateful.",5,US,"October 10, 2023"
"The staff were friendly and pleasant to work with. Very professional. Harold helped us and he was a great guy.My only complaint was that the vehicle we received had issues with the brakes. They rotors were probably needing to be worked on as things wobbled a little bit, but it was nothing that alarmed me or made me think the car was faulty.",4,US,"October 14, 2023"
Everything was great. The lady at the front desk was awesome and super kind. There wasn't a long line and we were able to get out quickly.,5,US,"October 11, 2023"
"Easy, reliable service, $150 deposit hold for vehicle, vehicle was exceptionally clean. All around great experience and service.",5,US,"October 11, 2023"
1st time I have rented a car from Fox. Was easy and Cheap! Keep it Cheap!!! Thank you,5,US,"October 14, 2023"
"Easy and less expensive than other car rental companies,  would do it again!",4,US,"October 11, 2023"
Best experience ever! Great vehicle and service! Will be using again when I travel if available in my travel city!,5,US,"October 09, 2023"
"The customer service during pick up and drop off was excellent~the process was quick and easy for both, and the people were friendly and helpful. Convenient location at the airport.",5,US,"October 06, 2023"
Friendly staff at Sea-Tac airport rental center. The compact car met our needs for our week stay.,5,US,"September 29, 2023"
"Timing, they didnt make me wait and they knew what they are doing there. Process was quick and efficient. I love this.",5,US,"October 07, 2023"
"fast, cost efficient, and friendly",5,N/A,"October 05, 2023"
"Great, friendly people. Top cars at good prices! What more do you want???",5,US,"October 09, 2023"
"The Fox team takes customer service seriously. The team is friendly and helpful, I didn’t feel rushed or like I was being upsold. Their prices are fair and transparent. You can either fill up your rental’s tank yourself or you can pay Fox to fill up your car—for the exact same price. Their insurance comes in tiers but the team recommended our tier based on our travel plans. You’re paying for a budget-friendly, safe car with a luxury customer experience. I highly recommend Fox!",5,US,"October 06, 2023"
Excellent customer service and ease of process,5,US,"October 13, 2023"
"Good Rates, Clean and new vehicles",5,GB,"October 12, 2023"
